// Melia
// Database file
//---------------------------------------------------------------------------

[
{ itemLevel: 1, addPrice: 75, removePrice: 150 },
{ itemLevel: 2, addPrice: 104, removePrice: 208 },
{ itemLevel: 3, addPrice: 135, removePrice: 270 },
{ itemLevel: 4, addPrice: 168, removePrice: 336 },
{ itemLevel: 5, addPrice: 210, removePrice: 420 },
{ itemLevel: 6, addPrice: 248, removePrice: 496 },
{ itemLevel: 7, addPrice: 288, removePrice: 576 },
{ itemLevel: 8, addPrice: 330, removePrice: 660 },
{ itemLevel: 9, addPrice: 385, removePrice: 770 },
{ itemLevel: 10, addPrice: 432, removePrice: 864 },
{ itemLevel: 11, addPrice: 481, removePrice: 962 },
{ itemLevel: 12, addPrice: 532, removePrice: 1064 },
{ itemLevel: 13, addPrice: 600, removePrice: 1200 },
{ itemLevel: 14, addPrice: 656, removePrice: 1312 },
{ itemLevel: 15, addPrice: 714, removePrice: 1428 },
{ itemLevel: 16, addPrice: 774, removePrice: 1548 },
{ itemLevel: 17, addPrice: 810, removePrice: 1620 },
{ itemLevel: 18, addPrice: 828, removePrice: 1656 },
{ itemLevel: 19, addPrice: 846, removePrice: 1692 },
{ itemLevel: 20, addPrice: 816, removePrice: 1632 },
{ itemLevel: 21, addPrice: 850, removePrice: 1700 },
{ itemLevel: 22, addPrice: 867, removePrice: 1734 },
{ itemLevel: 23, addPrice: 884, removePrice: 1768 },
{ itemLevel: 24, addPrice: 918, removePrice: 1836 },
{ itemLevel: 25, addPrice: 935, removePrice: 1870 },
{ itemLevel: 26, addPrice: 952, removePrice: 1904 },
{ itemLevel: 27, addPrice: 969, removePrice: 1938 },
{ itemLevel: 28, addPrice: 1003, removePrice: 2006 },
{ itemLevel: 29, addPrice: 1020, removePrice: 2040 },
{ itemLevel: 30, addPrice: 1037, removePrice: 2074 },
{ itemLevel: 31, addPrice: 1116, removePrice: 2232 },
{ itemLevel: 32, addPrice: 1152, removePrice: 2304 },
{ itemLevel: 33, addPrice: 1170, removePrice: 2340 },
{ itemLevel: 34, addPrice: 1254, removePrice: 2508 },
{ itemLevel: 35, addPrice: 1273, removePrice: 2546 },
{ itemLevel: 36, addPrice: 1311, removePrice: 2622 },
{ itemLevel: 37, addPrice: 1400, removePrice: 2800 },
{ itemLevel: 38, addPrice: 1420, removePrice: 2840 },
{ itemLevel: 39, addPrice: 1512, removePrice: 3024 },
{ itemLevel: 40, addPrice: 1554, removePrice: 3108 },
{ itemLevel: 41, addPrice: 1650, removePrice: 3300 },
{ itemLevel: 42, addPrice: 1672, removePrice: 3344 },
{ itemLevel: 43, addPrice: 1794, removePrice: 3588 },
{ itemLevel: 44, addPrice: 1817, removePrice: 3634 },
{ itemLevel: 45, addPrice: 1920, removePrice: 3840 },
{ itemLevel: 46, addPrice: 1944, removePrice: 3888 },
{ itemLevel: 47, addPrice: 2075, removePrice: 4150 },
{ itemLevel: 48, addPrice: 2100, removePrice: 4200 },
{ itemLevel: 49, addPrice: 2210, removePrice: 4420 },
{ itemLevel: 50, addPrice: 2150, removePrice: 4300 },
{ itemLevel: 51, addPrice: 2200, removePrice: 4400 },
